,Open,High,Low,Close,Volume,Time,Date
3701462,3625.54,3625.54,3625.54,3625.54,1.23330551,06:46:00,2019-01-18
3701463,3625.54,3625.68,3625.54,3625.68,5.27353253,06:47:00,2019-01-18
3701464,3625.75,3628.79,3625.75,3628.79,1.26853759,06:48:00,2019-01-18
3701465,3627.29,3630.82,3627.29,3630.82,16.61124714,06:49:00,2019-01-18
3701466,3629.25,3629.26,3629.25,3629.26,0.012429,06:50:00,2019-01-18
3701467,3629.26,3631.82,3629.24,3629.26,4.76076826,06:51:00,2019-01-18
3701468,3627.73,3627.73,3627.73,3627.73,1.41774917,06:52:00,2019-01-18
3701469,3626.01,3626.35,3626.01,3626.35,3.07789964,06:53:00,2019-01-18
3701470,3627.26,3627.26,3626.05,3626.05,0.84169076,06:54:00,2019-01-18
3701471,3626.05,3629.0,3625.68,3625.68,10.24545792,06:55:00,2019-01-18
3701472,3624.59,3625.08,3623.69,3625.08,4.26006267,06:56:00,2019-01-18
3701473,3624.16,3624.16,3622.84,3622.84,1.32287796,06:57:00,2019-01-18
3701474,3622.19,3624.22,3622.19,3624.22,5.80797025,06:58:00,2019-01-18
3701475,3624.91,3631.99,3624.91,3627.9,45.24144263,06:59:00,2019-01-18
3701476,3628.06,3628.1,3626.0,3627.88,12.67726307,07:00:00,2019-01-18
3701477,3627.94,3631.0,3626.17,3628.85,12.49528004,07:01:00,2019-01-18
